timestamp,open,high,low,close,volume,volatility_24h,source
2025-03-19T00:00:00,82715.03,87000.0,82547.16,86845.94,28151.05374,0.0,binance
2025-03-20T00:00:00,86845.93,87453.67,83655.23,84223.39,22090.30463,1854.4228890007873,binance
2025-03-21T00:00:00,84223.38,84850.33,83175.25,84088.79,11956.97443,1554.4431899665415,binance
2025-03-22T00:00:00,84088.79,84539.17,83625.1,83840.59,5420.22114,1406.4740040108625,binance
2025-03-23T00:00:00,83840.59,86129.64,83809.75,86082.5,8461.97813,1356.0641600860977,binance
2025-03-24T00:00:00,86082.5,88765.43,85519.09,87498.16,30115.62111,1580.4369115754075,binance
2025-03-25T00:00:00,87498.16,88539.63,86310.0,87392.87,22643.25248,1622.3289711399486,binance
2025-03-26T00:00:00,87392.88,88275.0,85860.0,86909.17,18408.78485,1560.645191707012,binance
2025-03-27T00:00:00,86909.17,87756.39,85800.0,87232.01,17098.03897,1529.7924142410443,binance
2025-03-28T00:00:00,87232.01,87515.67,83585.0,84424.38,27182.73169,1527.2460141560537,binance
2025-03-29T00:00:00,84424.38,84624.73,81644.81,82648.54,11696.39864,1741.606345678401,binance
2025-03-30T00:00:00,82648.53,83534.64,81565.0,82389.99,9864.49508,1896.345720696063,binance
2025-03-31T00:00:00,82390.0,83943.08,81278.52,82550.01,20569.13885,1969.0967869213798,binance
2025-04-01T00:00:00,82550.0,85579.46,82432.74,85158.34,20190.39697,1891.9440419820055,binance
2025-04-02T00:00:00,85158.35,88500.0,82320.0,82516.29,39931.457,1940.6135952059337,binance
2025-04-03T00:00:00,82516.28,83998.02,81211.24,83213.09,27337.84135,1922.7651636497385,binance
2025-04-04T00:00:00,83213.09,84720.0,81659.0,83889.87,32915.53976,1875.1347918120384,binance
2025-04-05T00:00:00,83889.87,84266.0,82379.95,83537.99,9360.40468,1841.7742969709975,binance
2025-04-06T00:00:00,83537.99,83817.63,77153.83,78430.0,27942.71436,2294.992057657525,binance
2025-04-07T00:00:00,78430.0,81243.58,74508.0,79163.24,78387.53089,2518.1277852772428,binance
2025-04-08T00:00:00,79163.24,80867.99,76239.9,76322.42,35317.32063,2984.247549740696,binance
2025-04-09T00:00:00,76322.42,83588.0,74620.0,82615.22,75488.28772,2922.032169451739,binance
2025-04-10T00:00:00,82615.22,82753.21,78464.36,79607.3,33284.80718,2978.513675749913,binance
2025-04-11T00:00:00,79607.3,84300.0,78969.58,83423.84,34435.43797,2913.089204604262,binance
2025-04-12T00:00:00,83423.83,85905.0,82792.95,85276.9,18470.74437,2873.80815175451,binance
2025-04-13T00:00:00,85276.91,86100.0,83034.23,83760.0,24680.04181,2815.988787601368,binance
2025-04-14T00:00:00,83760.0,85799.99,83678.0,84591.58,28659.09348,2768.178741229489,binance
2025-04-15T00:00:00,84591.58,86496.42,83600.0,83643.99,20910.99528,2716.437664164681,binance
2025-04-16T00:00:00,83643.99,85500.0,83111.64,84030.38,20867.24519,2668.5930319628906,binance
2025-04-17T00:00:00,84030.38,85470.01,83736.26,84947.91,13728.84772,2633.174596874084,binance
2025-04-18T00:00:00,84947.92,85132.08,84303.96,84474.69,6529.96315,2592.8959211653932,binance
2025-04-19T00:00:00,84474.7,85677.99,84364.45,85077.01,9666.58153,2562.3052301344187,binance
2025-04-20T00:00:00,85077.0,85320.76,83949.52,85179.24,8091.67725,2534.2977470739042,binance
2025-04-21T00:00:00,85179.24,88465.99,85144.76,87516.23,31773.37262,2576.2328223508184,binance
2025-04-22T00:00:00,87516.22,93888.0,87076.03,93442.99,43872.74705,3007.541547898208,binance
2025-04-23T00:00:00,93442.99,94696.05,91935.41,93691.08,27404.16808,3362.295178511675,binance
2025-04-24T00:00:00,93691.07,94005.0,91660.01,93980.47,19497.06071,3667.961241385855,binance
2025-04-25T00:00:00,93980.47,95758.04,92855.96,94638.68,27500.66648,3961.5318625727723,binance
2025-04-26T00:00:00,94638.68,95199.0,93870.69,94628.0,9415.06875,4204.80076122141,binance
2025-04-27T00:00:00,94628.0,95369.0,93602.58,93749.3,11162.841,4365.015441468553,binance
2025-04-28T00:00:00,93749.29,95630.0,92800.01,95011.18,22157.53351,4563.1856341756675,binance
2025-04-29T00:00:00,95011.18,95461.53,93742.54,94256.82,16955.3402,4698.787504992035,binance
2025-04-30T00:00:00,94256.82,95228.45,92910.0,94172.0,17661.2751,4812.657687513492,binance
2025-05-01T00:00:00,94172.0,97424.02,94130.43,96489.91,21380.45343,5010.086981802496,binance
2025-05-02T00:00:00,96489.9,97895.68,96350.0,96887.14,14905.74811,5198.860769150032,binance
2025-05-03T00:00:00,96887.13,96935.67,95753.01,95856.42,9723.34838,5321.846886702211,binance
2025-05-04T00:00:00,95856.42,96304.48,94151.38,94277.62,11036.38342,5377.762258160459,binance
2025-05-05T00:00:00,94277.61,95199.0,93514.1,94733.68,17251.18189,5439.52675593603,binance
2025-05-06T00:00:00,94733.68,96920.65,93377.0,96834.02,16122.64513,5561.144463065953,binance
2025-05-07T00:00:00,96834.02,97732.0,95784.61,97030.5,16644.83854,5675.308878526764,binance
2025-05-08T00:00:00,97030.5,104145.76,96876.29,103261.6,34962.02847,6039.121514072551,binance
2025-05-09T00:00:00,103261.61,104361.3,102315.14,102971.99,27617.39907,6341.103582566578,binance
2025-05-10T00:00:00,102971.99,104984.57,102818.76,104809.53,15324.78611,6688.66486239747,binance
2025-05-11T00:00:00,104809.53,104972.0,103345.06,104118.0,17987.12197,6963.543883684862,binance
2025-05-12T00:00:00,104118.0,105819.45,100718.37,102791.32,31272.77792,7157.275698928718,binance
2025-05-13T00:00:00,102791.32,104976.25,101429.7,104103.72,21253.42409,7376.766143974032,binance
2025-05-14T00:00:00,104103.72,104356.95,102602.05,103507.82,16452.9081,7552.817470256665,binance
2025-05-15T00:00:00,103507.83,104192.7,101383.07,103763.71,17998.98604,7719.102922710172,binance
2025-05-16T00:00:00,103763.71,104550.33,103100.49,103463.9,15683.88024,7859.830835281703,binance
2025-05-17T00:00:00,103463.9,103709.86,102612.5,103126.65,11250.89622,7977.411220727434,binance
2025-05-18T00:00:00,103126.65,106660.0,103105.09,106454.26,21599.98726,8181.950372763745,binance
2025-05-19T00:00:00,106454.27,107108.62,102000.0,105573.74,30260.03524,8340.21666171055,binance
2025-05-20T00:00:00,105573.73,107320.0,104184.72,106849.99,23705.48275,8520.823188774448,binance
2025-05-21T00:00:00,106850.0,110797.38,106100.01,109643.99,45531.040345,8771.489960424624,binance
2025-05-22T00:00:00,109643.99,111980.0,109177.37,111696.21,31630.77313,9066.510520286758,binance
2025-05-23T00:00:00,111696.22,111800.0,106800.0,107318.3,31737.72309,9204.462678393167,binance
2025-05-24T00:00:00,107318.3,109506.03,106875.41,107761.91,16782.53129,9341.523575025836,binance
2025-05-25T00:00:00,107761.9,109299.99,106600.64,109004.19,17710.04695,9498.32625812547,binance
2025-05-26T00:00:00,109004.2,110422.22,108670.58,109434.79,14649.11593,9652.761153853467,binance
2025-05-27T00:00:00,109434.78,110718.0,107516.57,108938.17,21276.65635,9782.133101991263,binance
2025-05-28T00:00:00,108938.17,109284.7,106769.43,107781.78,15633.78829,9875.020147594412,binance
2025-05-29T00:00:00,107781.78,108891.91,105322.86,105589.75,19834.70116,9917.95892354493,binance
2025-05-30T00:00:00,105589.75,106313.12,103621.0,103985.48,23706.49799,9930.709785156056,binance
2025-05-31T00:00:00,103985.47,104900.0,103068.55,104591.88,11289.35922,9950.010181523377,binance
2025-06-01T00:00:00,104591.88,105866.91,103752.49,105642.93,9709.70006,9982.905151857114,binance
2025-06-02T00:00:00,105642.93,105935.63,103659.88,105857.99,13453.98813,10015.674136650123,binance
2025-06-03T00:00:00,105858.0,106794.67,104872.5,105376.89,13259.52634,10037.55620286246,binance
2025-06-04T00:00:00,105376.9,106000.0,104179.0,104696.86,14034.89482,10046.944075500549,binance
2025-06-05T00:00:00,104696.86,105909.71,100372.26,101508.68,22321.50154,10017.736830227639,binance
2025-06-06T00:00:00,101508.69,105333.0,101095.8,104288.44,15839.07385,10018.789569417735,binance
2025-06-07T00:00:00,104288.43,105900.0,103871.09,105552.15,8344.93206,10034.845635762658,binance
2025-06-08T00:00:00,105552.15,106488.14,104964.14,105734.0,8048.06305,10051.07390308225,binance
2025-06-09T00:00:00,105734.01,110530.17,105318.37,110263.02,19975.37451,10137.786191513458,binance
2025-06-10T00:00:00,110263.02,110400.0,108331.03,110274.39,17071.82839,10218.473361799443,binance
2025-06-11T00:00:00,110274.39,110392.01,108064.0,108645.12,13115.91638,10266.235500932764,binance
2025-06-12T00:00:00,108645.13,108813.55,105671.72,105671.73,17778.67218,10269.552026332372,binance
2025-06-13T00:00:00,105671.74,106179.53,102664.31,106066.59,26180.81734,10276.061990351796,binance
2025-06-14T00:00:00,106066.59,106252.0,104300.0,105414.64,8798.93969,10273.416027746473,binance
2025-06-15T00:00:00,105414.63,106128.57,104494.53,105594.01,7164.20047,10271.552700347847,binance
2025-06-16T00:00:00,105594.02,108952.38,104980.37,106794.53,14922.6654,10282.316031486036,binance
2025-06-17T00:00:00,106794.53,107771.34,103371.02,104551.17,17866.33025,10267.34969152588,binance
2025-06-18T00:00:00,104551.17,105550.27,103500.0,104886.78,13968.64167,10254.967326138612,binance
2025-06-19T00:00:00,104886.79,105226.17,103929.27,104658.59,7678.60737,10239.766257609594,binance
2025-06-20T00:00:00,104658.59,106524.65,102345.0,103297.99,16419.06283,10212.655077025305,binance
2025-06-21T00:00:00,103297.98,103982.64,100837.9,102120.01,11154.21332,10177.339599277304,binance
2025-06-22T00:00:00,102120.02,103399.62,98200.0,100963.87,28746.41072,10135.790281364016,binance
2025-06-23T00:00:00,100963.87,106074.2,99613.33,105333.93,27666.50609,10125.871001448757,binance
2025-06-24T00:00:00,105333.94,106290.0,104622.02,106083.0,14651.69335,10122.426402317777,binance
2025-06-25T00:00:00,106083.0,108135.3,105808.03,107340.58,16701.15551,10131.079704094473,binance
2025-06-26T00:00:00,107340.59,108272.45,106562.5,106947.06,10573.27279,10134.21057236157,binance
2025-06-27T00:00:00,106947.06,107735.34,106356.76,107047.59,12232.44042,10137.238594909366,binance
2025-06-28T00:00:00,107047.58,107577.75,106811.51,107296.79,3282.17352,10141.694926025388,binance
2025-06-29T00:00:00,107296.79,108528.5,107172.52,108356.93,6831.7364,10156.222846684033,binance
2025-06-30T00:00:00,108356.93,108789.99,106733.33,107146.5,9754.12491,10156.781805640732,binance
2025-07-01T00:00:00,107146.51,107540.0,105250.85,105681.14,10505.62437,10143.421099046433,binance
2025-07-02T00:00:00,105681.13,109730.0,105100.19,108849.6,17691.89592,10159.688438686551,binance
2025-07-03T00:00:00,108849.59,110529.18,108530.4,109584.78,13047.08225,10182.559677551772,binance
2025-07-04T00:00:00,109584.77,109767.59,107245.0,107984.24,11793.86615,10186.954741170804,binance
2025-07-05T00:00:00,107984.25,108420.56,107756.31,108198.12,3736.9757,10192.382593573142,binance
2025-07-06T00:00:00,108198.12,109700.0,107800.01,109203.84,6447.607,10206.808718495971,binance
2025-07-07T00:00:00,109203.85,109700.0,107513.2,108262.94,9405.37601,10210.62205327639,binance
2025-07-08T00:00:00,108262.94,109216.56,107429.57,108922.98,9216.0208,10219.764899539252,binance
2025-07-09T00:00:00,108922.99,111999.79,108324.53,111233.99,17282.2865,10252.30739103232,binance
2025-07-10T00:00:00,111234.0,116868.0,110500.0,116010.0,24883.450665,10346.630403598021,binance
2025-07-11T00:00:00,116010.01,118869.98,115222.22,117527.66,25873.521148,10459.71397848466,binance
2025-07-12T00:00:00,117527.66,118200.0,116900.05,117420.0,8446.60437,10565.301105081166,binance
2025-07-13T00:00:00,117420.0,119488.0,117224.79,119086.64,9550.792947,10692.006401350487,binance
2025-07-14T00:00:00,119086.65,123218.0,118905.18,119841.18,27269.348877,10824.601399366693,binance
2025-07-15T00:00:00,119841.17,119940.83,115736.92,117758.09,32018.46083,10918.392787693721,binance
2025-07-16T00:00:00,117758.08,120063.84,117017.29,118630.43,17039.90851,11020.273158324739,binance
2025-07-17T00:00:00,118630.44,120998.71,117453.57,119177.56,15728.57651,11125.217025787486,binance
2025-07-18T00:00:00,119177.56,120820.71,116812.76,117924.84,19924.66266,11207.386076153954,binance
2025-07-19T00:00:00,117924.84,118499.9,117277.34,117840.0,6635.80306,11284.453438031873,binance
2025-07-20T00:00:00,117840.01,118856.8,116467.02,117265.12,12962.92889,11350.463095429048,binance
2025-07-21T00:00:00,117265.11,119676.73,116515.0,117380.36,17107.33128,11414.700617104692,binance
2025-07-22T00:00:00,117380.36,120247.8,116128.0,119954.42,20959.12973,11509.311911495866,binance
